"","min.OR.overall","min.RR.overall","min.OR.perday","min.RR.perday","ve.susc","ve.infect","contact.increase"
"1",0.307711590063688,0.300000715064831,0.299929324852618,0.299929288368545,0.3,0,1
"2",0.2983446174207,0.291615482207446,0.290563985058046,0.290464641857512,0.3,0,1.02
"3",0.288900000769343,0.282547383096143,0.28103584628539,0.280922713864096,0.3,0,1.04
"4",0.279379119464411,0.273304928237896,0.271423452300251,0.271304812914787,0.3,0,1.06
"5",0.269783372973465,0.263940554822452,0.261735687463609,0.261612253941821,0.3,0,1.08
"6",0.260106440726702,0.25448193699652,0.251971655327035,0.251846368392615,0.3,0,1.1
"7",0.250337289119226,0.244920670949546,0.242133080245161,0.242008503509744,0.3,0,1.12
"8",0.240495649249613,0.235281244294543,0.232223060488455,0.232100020481325,0.3,0,1.14
"9",0.230582909847704,0.225574002602042,0.222242875848316,0.222121830797238,0.3,0,1.16
"10",0.220600469412916,0.215774814651401,0.212193814864051,0.21207363006108,0.3,0,1.18
"11",0.210549735336788,0.205920717267989,0.202077173658357,0.201958152172013,0.3,0,1.2
"12",0.200432121019433,0.195987176369167,0.191894254953794,0.191776723625128,0.3,0,1.22
"13",0.190249043903951,0.18598587905337,0.181646367142181,0.181530677911928,0.3,0,1.24
"14",0.180001925649666,0.175948194211469,0.171334823407124,0.171221354700799,0.3,0,1.26
"15",0.169692189585959,0.165800093192368,0.160960940906092,0.160850099078925,0.3,0,1.28
"16",0.159321257694331,0.155615138757378,0.15052604106536,0.150418261906824,0.3,0,1.3
"17",0.148859868009026,0.145396803524659,0.140031448363607,0.139927198667161,0.3,0,1.32
"18",0.138331339162687,0.135068930838312,0.12947847930019,0.129378258683879,0.3,0,1.34
"19",0.127743633825048,0.124703351621434,0.118868527449891,0.118772869534981,0.3,0,1.36
"20",0.117097960137511,0.11430668478945,0.108201657694061,0.108112263120203,0.3,0,1.38
"21",0.106395740342466,0.103843328084544,0.0974743483301689,0.0973979300564128,0.3,0,1.4
"22",0.0956382814521071,0.0932997127475514,0.0866926067085582,0.0866287733894202,0.3,0,1.42
"23",0.0848269605619987,0.0827268813720254,0.0758576992555816,0.0757997274836031,0.3,0,1.44
"24",0.0739629668830508,0.0721277302890718,0.0649708636427533,0.0649193328881136,0.3,0,1.46
"25",0.0630476418111031,0.0614645188519514,0.0540333362105356,0.0539888608793746,0.3,0,1.48
"26",0.0520822829459606,0.0507173667426984,0.0430463545271584,0.0430095855857764,0.3,0,1.5
"27",0.041068152345376,0.039944913287724,0.0320111495409033,0.0319827762075907,0.3,0,1.52
"28",0.0299636988575421,0.029150033662539,0.0209289394384821,0.0209096909368724,0.3,0,1.54
"29",0.0188048998906564,0.0183356821064952,0.00980094501068396,0.00979159237912663,0.3,0,1.56
"30",0.00759859176549293,0.00740777336815701,-0.00137161583312539,-0.00137025786561984,0.3,0,1.58
"31",-0.00365407933908246,-0.00355845397939603,-0.0125875271879869,-0.0125745982606491,0.3,0,1.6
"32",-0.0149519758639429,-0.0145442403879898,-0.0238455792010865,-0.0238201713086121,0.3,0,1.62
"33",-0.0262939665234139,-0.0255468372368288,-0.0351445662751519,-0.03510572168738,0.3,0,1.64
"34",-0.0376789582774368,-0.0365634537934416,-0.0464832870084197,-0.0464362597510526,0.3,0,1.66
"35",-0.0491058681023799,-0.0476843708267805,-0.057877011129104,-0.0578221004596364,0.3,0,1.68
"36",-0.06057361819844,-0.0588576058220436,-0.0693147473308386,-0.0692466484351955,0.3,0,1.7
"37",-0.0720811747476615,-0.070045896536483,-0.0807909579492114,-0.0807087690580461,0.3,0,1.72
"38",-0.0836275100504629,-0.081246688146793,-0.0923045579341837,-0.0922073322187322,0.3,0,1.74
"39",-0.0952152091771767,-0.0924573849252239,-0.103854468455602,-0.103741212231285,0.3,0,1.76
"40",-0.106895904394969,-0.103675309221224,-0.115439616853796,-0.11530928772767,0.3,0,1.78
"41",-0.118614853295391,-0.115043545275764,-0.127058937819939,-0.126910442738992,0.3,0,1.8
"42",-0.130370866783396,-0.126427357703455,-0.138711366540762,-0.138543559923393,0.3,0,1.82
"43",-0.14216340364997,-0.137820697524271,-0.150395855428946,-0.150207537062736,0.3,0,1.84
"44",-0.153991443395415,-0.149221110145085,-0.162111347723392,-0.161901260689709,0.3,0,1.86
"45",-0.165854155821737,-0.160626139972624,-0.173856798221754,-0.173623626748696,0.3,0,1.88
"46",-0.177750707112625,-0.172033304736798,-0.185631166714096,-0.185376617772794,0.3,0,1.9
"47",-0.189680276002185,-0.183534693010322,-0.197433417698604,-0.197193391705606,0.3,0,1.92
"48",-0.201642097712571,-0.195117717848478,-0.209281817256993,-0.2090387082133,0.3,0,1.94
"49",-0.213635391175086,-0.206706141146889,-0.22117700551619,-0.220911587708269,0.3,0,1.96
"50",-0.225659561386887,-0.218297914570917,-0.233099920143668,-0.232810971032309,0.3,0,1.98
"51",-0.237713571254677,-0.229890527216161,-0.245049830550126,-0.244736073983448,0.3,0,2
"52",0.307722278241156,0.30000076397032,0.299929324852635,0.299929281659011,0.3,0.02,1
"53",0.298408731924257,0.291676831556769,0.290623534451731,0.290525965122763,0.3,0.02,1.02
"54",0.289016848362427,0.282664038444439,0.281156141234564,0.281045183038215,0.3,0.02,1.04
"55",0.279547941848338,0.273481237931416,0.271606174069451,0.271488193865081,0.3,0.02,1.06
"56",0.270003347029123,0.264177809638518,0.261978254835925,0.261856263236931,0.3,0.02,1.08
"57",0.260384420987913,0.254770462973772,0.252273568657982,0.252150673740047,0.3,0.02,1.1
"58",0.250692535854086,0.245277012465403,0.242495875982164,0.242372723798517,0.3,0.02,1.12
"59",0.240929080155003,0.235706061273097,0.232646404265043,0.232523726252772,0.3,0.02,1.14
