"","min.OR.overall","min.RR.overall","min.OR.perday","min.RR.perday","ve.susc","ve.infect"
"96",-0.164463858246719,-0.11728051715961,-0.120529106176757,-0.120514147200524,0.02,0.88
"97",-0.132009959925684,-0.0984977060558632,-0.101458433694064,-0.101447952312249,0.02,0.9
"98",-0.0989866178210013,-0.0781148439108652,-0.0807476502686371,-0.0807408743788856,0.02,0.92
"99",-0.0661260054478532,-0.0560413606613759,-0.0582975876987333,-0.058293511535662,0.02,0.940000000000001
"100",-0.0349914964063722,-0.0322232361622299,-0.0340359350094475,-0.0340340989073862,0.02,0.960000000000001
"101",-0.00703359156734917,-0.0066803572582701,-0.00793447222139698,-0.0079341361680163,0.02,0.980000000000001
"102",0.0214484802458759,0.0200311440974742,0.0199741652724796,0.0199739901767655,0.02,1
"103",-0.526485804030503,-0.336485441715978,-0.342655260796777,-0.342378469208725,0.04,0
"104",-0.523579068927224,-0.334804723630672,-0.341001070232853,-0.340742145004244,0.04,0.02
"105",-0.518184369861106,-0.333183202534663,-0.3393168823574,-0.339038931112818,0.04,0.04
"106",-0.516001557409767,-0.331440020576274,-0.337563435591074,-0.337281624428812,0.04,0.06
"107",-0.511901081092917,-0.329601100385945,-0.335737557231144,-0.3354784213279,0.04,0.08
"108",-0.506801863084366,-0.32777949633552,-0.333836483301191,-0.333597440878814,0.04,0.1
"109",-0.503727801581502,-0.325818993198743,-0.331893147038293,-0.331634943039685,0.04,0.12
"110",-0.499495423856525,-0.32381867413495,-0.329864990414129,-0.329610650449765,0.04,0.14
"111",-0.494404540004633,-0.321741414791115,-0.32774767434387,-0.327515577377853,0.04,0.16
"112",-0.489379712106026,-0.319545246613432,-0.325554707405295,-0.325324883542996,0.04,0.18
"113",-0.485180549444337,-0.317321890678238,-0.323282918093301,-0.323041208707664,0.04,0.2
"114",-0.480443153901631,-0.314934515566277,-0.320905846237135,-0.320686866043858,0.04,0.22
"115",-0.47532196694983,-0.312530658272181,-0.318430126968463,-0.318219567550593,0.04,0.24
"116",-0.46992724214926,-0.309947878066885,-0.315862902254553,-0.315640926901691,0.04,0.26
"117",-0.464319046147566,-0.307323166906329,-0.313170402061916,-0.312970879509937,0.04,0.28
"118",-0.458508842099373,-0.304531231991539,-0.310365013218314,-0.310166115744852,0.04,0.3
"119",-0.452458912399919,-0.301638800621026,-0.307437053879456,-0.30724052311168,0.04,0.32
"120",-0.446091616792653,-0.29861315443704,-0.304358596681436,-0.304183469555068,0.04,0.34
"121",-0.439297762441222,-0.295409741896456,-0.301158094891389,-0.300968925973405,0.04,0.36
"122",-0.432353913246671,-0.292102717079769,-0.297786374203988,-0.297619091554377,0.04,0.38
"123",-0.425661322107008,-0.288616636700804,-0.294259273820132,-0.294084243742994,0.04,0.4
