"","min.OR.overall","min.RR.overall","min.OR.perday","min.RR.perday","ve.susc","ve.infect","contact.increase"
"31",-13.907147175736,-0.479869067999804,-0.487662962345819,-0.487202988139833,0,0,1.6
"32",-15.3117277527532,-0.496854644032111,-0.504939067790031,-0.504465600596571,0,0,1.62
"33",-16.8484822416596,-0.513941659263417,-0.522283844738172,-0.521774880577728,0,0,1.64
"34",-18.5300149833579,-0.531115085800336,-0.539677312146301,-0.539129218759213,0,0,1.66
"35",-20.3699313162486,-0.548312317450077,-0.557116613946749,-0.556527023960515,0,0,1.68
"36",-22.3831759861762,-0.565530424096468,-0.574600299876176,-0.573966726264083,0,0,1.7
"37",-24.5859891133805,-0.582766434135695,-0.59212694344438,-0.591446774445033,0,0,1.72
"38",-26.9962956922879,-0.600017322160289,-0.609695141227618,-0.608965635086771,0,0,1.74
"39",-29.6337112640778,-0.617292418398164,-0.627303511913876,-0.626554416755085,0,0,1.76
"40",-32.5194122118593,-0.634737082190772,-0.644950695899552,-0.644186507503138,0,0,1.78
"41",-35.6771221966727,-0.652199376398344,-0.662635354447559,-0.661856359924184,0,0,1.8
"42",-39.1317856756226,-0.669676718163639,-0.68035616882206,-0.679562644127784,0,0,1.82
"43",-42.9119947867582,-0.687166495145361,-0.698111839631502,-0.697304048236296,0,0,1.84
"44",-47.0482975315474,-0.70466605776973,-0.715901084755213,-0.715079277483032,0,0,1.86
"45",-51.5740962940962,-0.72217274403588,-0.733739463405073,-0.732887056466353,0,0,1.88
"46",-56.5263196163949,-0.739683752144261,-0.751632916095028,-0.750726120080079,0,0,1.9
"47",-61.9447010106688,-0.757329047326841,-0.76955927918882,-0.768595248429283,0,0,1.92
"48",-67.8734921327225,-0.775052382250776,-0.787517381594918,-0.786493144206091,0,0,1.94
"49",-74.3604921578323,-0.792784808667945,-0.8055061640935,-0.804418618119508,0,0,1.96
"50",-81.4590314059853,-0.810524049214375,-0.823524553576627,-0.822370461952519,0,0,1.98
"51",-89.2254617519782,-0.828267802393796,-0.841571493534384,-0.84034747913857,0,0,2
"52",0.0214514958961763,0.0200000715044916,0.0199741322986319,0.0199741046521977,0.02,0,1
"53",0.00652508690635478,0.00620363688917025,0.00534746005615117,0.00534500254125037,0.02,0,1.02
"54",-0.00861411478711305,-0.00817567698016686,-0.00939318462401784,-0.00938864452191468,0.02,0,1.04
"55",-0.0242354582969664,-0.0227225092893357,-0.0242365951380732,-0.0242242754998594,0.02,0,1.06
"56",-0.0418170608218889,-0.037410529250691,-0.0391803241311734,-0.0391593813016269,0.02,0,1.08
"57",-0.0621768127135638,-0.0522141173788684,-0.0542219361764378,-0.0541924955169553,0.02,0,1.1
"58",-0.0849428922946767,-0.0671067591413379,-0.0693590172687419,-0.0693214727599016,0.02,0,1.12
"59",-0.109652605757581,-0.0821321219887139,-0.0845891687624394,-0.0845434238787668,0.02,0,1.14
"60",-0.13642293144467,-0.0972206740240484,-0.0999100103212893,-0.0998559930373177,0.02,0,1.16
"61",-0.164838153234738,-0.112433346805849,-0.115319450648701,-0.115256843614355,0.02,0,1.18
"62",-0.194703641583133,-0.127715442081277,-0.130818147745626,-0.13074365847684,0.02,0,1.2
"63",-0.2259986447863,-0.143074858862921,-0.146401565195038,-0.146314140793803,0.02,0,1.22
"64",-0.258665155504832,-0.15854728085188,-0.162067485382465,-0.161966001285199,0.02,0,1.24
"65",-0.292601137567137,-0.17407581844503,-0.177813761586462,-0.177697016883525,0.02,0,1.26
"66",-0.327653238636841,-0.189664282518635,-0.193638227129568,-0.193504940939939,0.02,0,1.28
"67",-0.363610112133272,-0.205378706889088,-0.20953875799698,-0.209387564847534,0.02,0,1.3
"68",-0.400197765276517,-0.221144996997898,-0.225513255464136,-0.225342700661373,0.02,0,1.32
"69",-0.439386760625891,-0.236959076044952,-0.241559647411736,-0.241377892559599,0.02,0,1.34
"70",-0.479646596445056,-0.252847819117153,-0.257675844272939,-0.257483155442374,0.02,0,1.36
"71",-0.520453792607234,-0.268843826356223,-0.273859980127999,-0.273656375857157,0.02,0,1.38
"72",-0.561409699691888,-0.284884662982669,-0.290109886129612,-0.289895614640866,0.02,0,1.4
"73",-0.602855369661712,-0.300966574498748,-0.306424598198131,-0.306198897850835,0.02,0,1.42
"74",-0.64813529860123,-0.317085756592279,-0.322812824643599,-0.322564297100423,0.02,0,1.44
"75",-0.693449722419716,-0.333339420851963,-0.339262882549423,-0.338989908081108,0.02,0,1.46
"76",-0.738272041610225,-0.349639301029806,-0.355772984557764,-0.355473849824428,0.02,0,1.48
"77",-0.782418814279699,-0.365975070204787,-0.372341331244334,-0.372014225339954,0.02,0,1.5
