"","min.OR.overall","min.RR.overall","min.OR.perday","min.RR.perday","ve.susc","ve.infect","contact.increase"
"1",2.67342957567251e-05,6.72750155583657e-08,-2.99751191508157e-05,-2.66677704854335e-05,0,0,1
"2",-0.0941555731300794,-0.0141333651704569,-0.0150388772393464,-0.0150197603590192,0,0,1.02
"3",-0.197228229143054,-0.0288859125784975,-0.0301602308594091,-0.0301196469736653,0,0,1.04
"4",-0.310029931989793,-0.0438182145360591,-0.0453869462233658,-0.0453283872869585,0,0,1.06
"5",-0.433474709637808,-0.0588698575683191,-0.0607162215042107,-0.0606400172632915,0,0,1.08
"6",-0.568565972659856,-0.0740173354298193,-0.076145245389974,-0.0760517020665741,0,0,1.1
"7",-0.716402133497396,-0.0893573482288912,-0.0916711983771301,-0.0915605883099557,0,0,1.12
"8",-0.878179358554525,-0.104746402830988,-0.107291247106281,-0.107163804529206,0,0,1.14
"9",-1.05521577573744,-0.120175305508058,-0.123010955842642,-0.122858459346683,0,0,1.16
"10",-1.24894393022547,-0.13577337415454,-0.138826109345484,-0.138641637818169,0,0,1.18
"11",-1.46093934493339,-0.151510676445635,-0.154730832934611,-0.154510403051255,0,0,1.2
"12",-1.69291500249635,-0.167293537832331,-0.170722594186043,-0.170461792538878,0,0,1.22
"13",-1.94676172678859,-0.183114245408799,-0.186798872187766,-0.186492812167343,0,0,1.24
"14",-2.22453820449929,-0.198964440912209,-0.202957156176562,-0.202600430729679,0,0,1.26
"15",-2.5284904197489,-0.214952877077749,-0.219194952378331,-0.218812243835879,0,0,1.28
"16",-2.86109087442726,-0.231137284982471,-0.235509777371784,-0.235106443122426,0,0,1.3
"17",-3.22503365820626,-0.247360768531264,-0.251899158566627,-0.251475687285166,0,0,1.32
"18",-3.6232753213447,-0.263616777552833,-0.268360632778854,-0.267917424794048,0,0,1.34
"19",-4.059033966857,-0.279898357718606,-0.284891745761059,-0.284429101623236,0,0,1.36
"20",-4.53585243872616,-0.296198086613213,-0.301490043494908,-0.301008158919859,0,0,1.38
"21",-5.05758661202721,-0.312508060152461,-0.318153082950604,-0.317652029983195,0,0,1.4
"22",-5.62850036307902,-0.329051274032689,-0.334902792305692,-0.334358137243565,0,0,1.42
"23",-6.2531894305639,-0.345750691380471,-0.351734009442364,-0.351123889167168,0,0,1.44
"24",-6.93672307085366,-0.362476202013843,-0.368628767137538,-0.367946675988855,0,0,1.46
"25",-7.68465326065563,-0.37922206369591,-0.38558502689816,-0.384823864796243,0,0,1.48
"26",-8.5030453614101,-0.395982228145579,-0.402600774131996,-0.401752795236399,0,0,1.5
"27",-9.3985179267105,-0.412750302332524,-0.419674016864736,-0.418730774031712,0,0,1.52
"28",-10.3783512372802,-0.429519509311129,-0.436802784468219,-0.435755069188036,0,0,1.54
"29",-11.450493900755,-0.4462826471611,-0.453985126240115,-0.452901020148916,0,0,1.56
"30",-12.6236214515031,-0.463042616937407,-0.471219107806043,-0.470116179226025,0,0,1.58
"31",-13.9072293099527,-0.480265778294957,-0.488502809641539,-0.487381333765357,0,0,1.6
"32",-15.3117314637847,-0.497504474059392,-0.50583432703215,-0.504694414180541,0,0,1.62
"33",-16.8485820315841,-0.514753934201179,-0.523211766547604,-0.522053351831935,0,0,1.64
"34",-18.5301405981196,-0.532009171477403,-0.540633243508681,-0.539456075689632,0,0,1.66
"35",-20.3700769119452,-0.549264957985139,-0.558096879245296,-0.556900510320553,0,0,1.68
"36",-22.3832909246924,-0.566515799215505,-0.575600798140575,-0.574384572435872,0,0,1.7
"37",-24.5861025833237,-0.583755919471082,-0.593143140434877,-0.591906161278451,0,0,1.72
"38",-26.9964271519655,-0.600979172964621,-0.61077207829315,-0.609463175577326,0,0,1.74
"39",-29.6338135581131,-0.61817911517111,-0.628481382545532,-0.627053489583272,0,0,1.76
"40",-32.5195615875892,-0.635348900876666,-0.646231601780263,-0.644674946319882,0,0,1.78
"41",-35.6771249854805,-0.652586058357164,-0.664021318889997,-0.662325372623833,0,0,1.8
"42",-39.1318925776323,-0.670361393508404,-0.681849107045904,-0.680002529552425,0,0,1.82
"43",-42.9122771085189,-0.688137644418676,-0.699713596562396,-0.6977041760056,0,0,1.84
"44",-47.0486273184386,-0.705910831098728,-0.71761342530588,-0.715428014582797,0,0,1.86
"45",-51.5745016974282,-0.72367681177335,-0.735547248847378,-0.733171697489128,0,0,1.88
"46",-56.5265708410045,-0.741431272900985,-0.753513740877311,-0.750995393886804,0,0,1.9
"47",-61.9449715624023,-0.759169691928487,-0.771511596138064,-0.768983513021123,0,0,1.92
"48",-67.8738298892139,-0.7768873292159,-0.789539512635576,-0.787001186257326,0,0,1.94
"49",-74.3610340811636,-0.794579220658954,-0.807596201849755,-0.80504688452463,0,0,1.96
"50",-81.4591426622914,-0.812240150606846,-0.825680390868751,-0.823119076823496,0,0,1.98
"51",-89.2257374206124,-0.829864603575555,-0.843790819889044,-0.841216235066981,0,0,2
"52",0.0214506343963308,0.0200000715046482,0.0199741322984829,0.0199741322800412,0.02,0,1
"53",0.00652697195934715,0.00620117273662923,0.00535984472607731,0.00535371289338704,0.02,0,1.02
"54",-0.00861489348832456,-0.00818247497876845,-0.0093834461635296,-0.00937190076617789,0.02,0,1.04
"55",-0.0242148804459621,-0.0227076428057551,-0.0242306997817967,-0.0241989268838114,0.02,0,1.06
"56",-0.0417844425572518,-0.0374288857750045,-0.0391792258387336,-0.039132142963745,0.02,0,1.08
"57",-0.0620843440127321,-0.0521943858986962,-0.0542263183350076,-0.0541645105957536,0.02,0,1.1
"58",-0.0845045337671786,-0.0671225404894222,-0.0693692648837698,-0.0692933162421792,0.02,0,1.12
"59",-0.109243672566293,-0.0821746351111039,-0.0846053393830315,-0.0845158298549482,0.02,0,1.14
"60",-0.13600681516492,-0.0972737638978545,-0.0999406897914092,-0.0998293043579004,0.02,0,1.16
"61",-0.164222232123866,-0.112411221570653,-0.115368599448481,-0.11523097763311,0.02,0,1.18
"62",-0.19387734878128,-0.127738257725991,-0.130885210926835,-0.130718064807733,0.02,0,1.2
"63",-0.224929278796641,-0.143179863033085,-0.146488071522729,-0.146287761042259,0.02,0,1.22
"64",-0.257302809424834,-0.158665715867232,-0.162174742107855,-0.161937240192237,0.02,0,1.24
"65",-0.290887046096105,-0.17418852370707,-0.177942792724052,-0.177663647141073,0.02,0,1.26
"66",-0.325534596198711,-0.189740499522688,-0.193789806677954,-0.193464098353222,0.02,0,1.28
"67",-0.361059107253121,-0.205395040179561,-0.209713373203432,-0.209346252031927,0.02,0,1.3
"68",-0.397233106262932,-0.221274189036045,-0.225711097132304,-0.225327551551841,0.02,0,1.32
"69",-0.433794496345626,-0.237191801735266,-0.241780590506784,-0.241381476898565,0.02,0,1.34
"70",-0.472605935541282,-0.253141729955761,-0.257919472995733,-0.257505594482295,0.02,0,1.36
"71",-0.514139362013498,-0.269117457879765,-0.27412537012324,-0.273697469643286,0.02,0,1.38
"72",-0.556403543815951,-0.28511197656402,-0.290395903677753,-0.289954664598173,0.02,0,1.4
"73",-0.599103569768054,-0.301118166475595,-0.306728726666457,-0.306274736019138,0.02,0,1.42
"74",-0.641907069540963,-0.317234006024715,-0.323155126398494,-0.322655231849066,0.02,0,1.44
"75",-0.684448165280845,-0.333617945423833,-0.339653428742863,-0.339093688678469,0.02,0,1.46
"76",-0.726330100761802,-0.350028353458403,-0.35621308205399,-0.355587628325587,0.02,0,1.48
"77",-0.770778550356307,-0.366459864399086,-0.372832116608751,-0.372134553489304,0.02,0,1.5
"78",-0.820559118383794,-0.38290684566375,-0.389508583989738,-0.388731943386303,0.02,0,1.52
"79",-0.870219089990861,-0.399363360299433,-0.406240556238126,-0.405377249302883,0.02,0,1.54
"80",-0.919337649653892,-0.415823133180523,-0.423026124482203,-0.422067889353433,0.02,0,1.56
"81",-0.967465470805668,-0.432279512812234,-0.439863397519327,-0.438803639179538,0.02,0,1.58
"82",-1.01413791895603,-0.448725434010624,-0.456750500256328,-0.455678311207411,0.02,0,1.6
"83",-1.05888092390869,-0.465377612031532,-0.473685569974218,-0.472601760068706,0.02,0,1.62
"84",-1.1146182989352,-0.482292844032703,-0.490666754614403,-0.489572016238117,0.02,0,1.64
"85",-1.17144363594102,-0.49922026703176,-0.507692212833059,-0.506587113224174,0.02,0,1.66
"86",-1.2271161935965,-0.516155256488766,-0.524760110270669,-0.523645084625035,0.02,0,1.68
"87",-1.28112544368863,-0.533092977375319,-0.541868616911575,-0.540743960945877,0.02,0,1.7
"88",-1.33295688154289,-0.550028362145806,-0.559015904238964,-0.557881767760592,0.02,0,1.72
"89",-1.38210863540372,-0.566956086827299,-0.576200142179354,-0.575056522402757,0.02,0,1.74
"90",-1.433547549974,-0.583870559436231,-0.593461493850068,-0.592266224369676,0.02,0,1.76
"91",-1.49848304485248,-0.600765825472141,-0.610811680520945,-0.609508873168698,0.02,0,1.78
"92",-1.56182414794822,-0.617635652508744,-0.628201490742074,-0.626782443761916,0.02,0,1.8
"93",-1.62301533608779,-0.634473424894656,-0.645629531545079,-0.644084880872131,0.02,0,1.82
"94",-1.6815081270543,-0.651513684666945,-0.663094442283085,-0.661414113660461,0.02,0,1.84
"95",-1.73676309609423,-0.668961804330342,-0.680594847686247,-0.678768005062715,0.02,0,1.86
"96",-1.78827133782367,-0.686409159729958,-0.698129428511053,-0.696144419572573,0.02,0,1.88
"97",-1.84347612457612,-0.703851934696853,-0.715696868814698,-0.713541166391984,0.02,0,1.9
"98",-1.91654454954685,-0.721286159682997,-0.73329586733078,-0.730956006991605,0.02,0,1.92
"99",-1.98728511831279,-0.738707702018206,-0.750925135996964,-0.748436673045837,0.02,0,1.94
"100",-2.055107653273,-0.756112235622932,-0.768583405946144,-0.766095193148848,0.02,0,1.96
"101",-2.11943827840761,-0.773495224365148,-0.78626940911526,-0.783781524772529,0.02,0,1.98
"102",-2.17973000417129,-0.790851922647946,-0.80398188446635,-0.801494219820233,0.02,0,2
"103",0.0420189831635726,0.0400000759362562,0.0399749323306058,0.0399749323187804,0.04,0,1
"104",0.0275993643600653,0.0265482606978017,0.0257508935169168,0.025726794635949,0.04,0,1.02
"105",0.0130338782902932,0.0125368991727369,0.0113870449503536,0.0113744605147534,0.04,0,1.04
"106",-0.00169901630713554,-0.00162802219040969,-0.00308175941375399,-0.00307810117859586,0.04,0,1.06
"107",-0.0165816373014007,-0.0159664317865837,-0.0176505299696719,-0.0176280185495936,0.04,0,1.08
"108",-0.0316197827759415,-0.0304029924773865,-0.0323166710448766,-0.0322793927602083,0.04,0,1.1
"109",-0.0470142706411705,-0.0448817238679244,-0.0470775787080173,-0.047028264524795,0.04,0,1.12
"110",-0.0632678334200663,-0.059574920474406,-0.0619306362943319,-0.0618701195399509,0.04,0,1.14
"111",-0.0807984389897822,-0.0743375271257112,-0.0768793506988601,-0.0768023491291647,0.04,0,1.16
"112",-0.099497029390502,-0.0891455875259854,-0.0919207281954153,-0.0918223296925791,0.04,0,1.18
"113",-0.119417211986607,-0.103990837372754,-0.107049923617742,-0.106927423072265,0.04,0,1.2
"114",-0.140761679766731,-0.11903062894807,-0.122264569972156,-0.122114974759058,0.04,0,1.22
"115",-0.162992512789896,-0.134174889456387,-0.137562307324807,-0.137382309167889,0.04,0,1.24
"116",-0.186113603608829,-0.149362373848903,-0.152940787780696,-0.152726732023855,0.04,0,1.26
"117",-0.210109601834033,-0.164586237913839,-0.168397675676058,-0.168145527735089,0.04,0,1.28
"118",-0.234940828900599,-0.179839158674862,-0.183930641298131,-0.183635950044673,0.04,0,1.3
"119",-0.260543250704067,-0.195142861064123,-0.199537368511542,-0.199195226342367,0.04,0,1.32
"120",-0.28682287228246,-0.210715140034822,-0.215215543362828,-0.214847457166181,0.04,0,1.34
