"","min.OR.overall","min.RR.overall","min.OR.perday","min.RR.perday","ve.susc","ve.infect"
"46",-0.258397070743785,-0.12292107986422,-0.125893669663815,-0.12586557436905,0,0.9
"47",-0.201547932023955,-0.101859639117053,-0.104509880229995,-0.104490299741018,0,0.92
"48",-0.147238826459943,-0.0790084353179683,-0.081287974093724,-0.0812758359769745,0,0.940000000000001
"49",-0.0954780909149917,-0.0543050247095183,-0.0561460928610784,-0.0561394241816775,0,0.960000000000001
"50",-0.0463236415543433,-0.027766483461912,-0.0290486286503444,-0.029045997848627,0,0.980000000000001
"51",4.60438043302647e-05,1.93772988351659e-05,-2.68446596694005e-05,-2.6734443907328e-05,0,1
"52",-0.770778550356327,-0.366459864399089,-0.372832116608753,-0.372134553489305,0.02,0
"53",-0.770762519224291,-0.364697129015887,-0.37113181863823,-0.370508458285531,0.02,0.02
"54",-0.76409488539325,-0.362761224642882,-0.369381791871537,-0.368802501116104,0.02,0.04
"55",-0.757865594357941,-0.36123925894805,-0.367639375608989,-0.367013774097898,0.02,0.06
"56",-0.75397280230968,-0.359539282109784,-0.365815817216556,-0.365138960395946,0.02,0.08
"57",-0.744980077300693,-0.35763397319482,-0.363907621136755,-0.363185375035404,0.02,0.1
"58",-0.742018416122484,-0.355521337245568,-0.36191084785142,-0.361274385859791,0.02,0.12
"59",-0.732751989630962,-0.353484629726076,-0.35982112735602,-0.359260482063843,0.02,0.14
"60",-0.728784187309969,-0.351532214376112,-0.357644774995154,-0.357139925886114,0.02,0.16
"61",-0.720741957347083,-0.349334867453668,-0.355460691070186,-0.354908365019407,0.02,0.18
"62",-0.713895860988955,-0.346890416766932,-0.353165677489989,-0.352560775178169,0.02,0.2
"63",-0.707667323917024,-0.34460724847335,-0.350754329642471,-0.350187447431249,0.02,0.22
"64",-0.697227872981542,-0.342217183618512,-0.348220548971177,-0.347728381017689,0.02,0.24
"65",-0.691718487040326,-0.339538469097367,-0.345584143274228,-0.345130402871526,0.02,0.26
"66",-0.684018842065857,-0.336847123450109,-0.342889771978904,-0.342387106057686,0.02,0.28
"67",-0.674394847551242,-0.334128324709952,-0.34004792202973,-0.339534005979487,0.02,0.3
"68",-0.664727943939821,-0.331074984287404,-0.337050488936759,-0.336610724001556,0.02,0.32
"69",-0.656820606248383,-0.328078271939406,-0.333918298531208,-0.333512236900117,0.02,0.34
"70",-0.647777804959939,-0.324866165305042,-0.330684775454842,-0.330229666500245,0.02,0.36
"71",-0.637995602502555,-0.321429565646542,-0.327262143594703,-0.326844869239013,0.02,0.38
"72",-0.627670766591597,-0.317965300435735,-0.323638979891034,-0.323287251342941,0.02,0.4
"73",-0.616832058206009,-0.314153871526761,-0.319902230603796,-0.319506059876778,0.02,0.42
"74",-0.605364458655305,-0.310326772508875,-0.315936290640895,-0.315571644261613,0.02,0.44
"75",-0.59305368432988,-0.3061548509491,-0.31174158397358,-0.311421119137683,0.02,0.46
"76",-0.581418961691029,-0.301836829827545,-0.307364246725565,-0.307006164430615,0.02,0.48
"77",-0.568921633713238,-0.297268382409665,-0.302700902768338,-0.302407734674274,0.02,0.5
"78",-0.554953011285921,-0.292352460418858,-0.297805156902626,-0.297492009946768,0.02,0.52
"79",-0.541540190193871,-0.287265266245123,-0.29259931819248,-0.292330631678108,0.02,0.54
"80",-0.526872880940638,-0.281847431781467,-0.287098181645895,-0.286819998561901,0.02,0.56
"81",-0.511383487994896,-0.276068289663074,-0.281238665930852,-0.281005660490137,0.02,0.58
"82",-0.495323940458113,-0.26991930832866,-0.27503264153738,-0.274788482762703,0.02,0.6
"83",-0.478582253040683,-0.263377172730972,-0.268400988949801,-0.268193382172161,0.02,0.62
"84",-0.46082957373623,-0.25640443333851,-0.261339891914903,-0.26114772872283,0.02,0.64
"85",-0.442246732560284,-0.24895015801103,-0.253796208320801,-0.253608068194134,0.02,0.66
"86",-0.422643958963709,-0.24095114952264,-0.245714138899788,-0.245540005501905,0.02,0.68
"87",-0.402131553155793,-0.23240026103698,-0.237045881543448,-0.236895425722048,0.02,0.7
"88",-0.380454573497834,-0.223199596216178,-0.227734627259238,-0.227602416404314,0.02,0.72
"89",-0.357748654937394,-0.213313991224245,-0.217714629218964,-0.217596411623584,0.02,0.74
"90",-0.33383254094239,-0.202643204088175,-0.206911138712788,-0.206803673120694,0.02,0.76
"91",-0.308696707864505,-0.191113132508901,-0.195240127626509,-0.195147364102101,0.02,0.78
"92",-0.28234748503442,-0.178644924585117,-0.182608653044285,-0.182534166005707,0.02,0.8
"93",-0.254674882773808,-0.165131673575758,-0.168923397810867,-0.168857334467095,0.02,0.82
"94",-0.225722106187552,-0.15048062155019,-0.154070206494826,-0.154020503259602,0.02,0.84
"95",-0.195511141351457,-0.134564284540806,-0.137940130454928,-0.137899986185682,0.02,0.86
"96",-0.164146485570219,-0.117269577227358,-0.120407979623681,-0.120377609485109,0.02,0.88
"97",-0.131806990897446,-0.0984919761412242,-0.101353751260649,-0.101332422738511,0.02,0.9
"98",-0.0988641045134409,-0.078109900891034,-0.0806631814453327,-0.0806482531483852,0.02,0.92
"99",-0.0660637521660548,-0.056036899453344,-0.058234507088929,-0.0582261974106326,0.02,0.940000000000001
"100",-0.0349742340671548,-0.0322213431911313,-0.0339953042307612,-0.0339914159580315,0.02,0.960000000000001
"101",-0.00703260315447118,-0.00667945076786491,-0.00791512063757538,-0.00791442670098164,0.02,0.980000000000001
"102",0.0214483496368012,0.0200187959798674,0.0199744111851143,0.0199740676166129,0.02,1
"103",-0.522193664413537,-0.336857985116844,-0.343078257701444,-0.342508274916927,0.04,0
"104",-0.515268301100926,-0.335013249035507,-0.341383849241733,-0.340873665534526,0.04,0.02
"105",-0.514145978754188,-0.333495908216018,-0.339692327344465,-0.339161278110043,0.04,0.04
"106",-0.510571468444608,-0.331885300261876,-0.337955173703933,-0.337368089647264,0.04,0.06
"107",-0.504171628314147,-0.330081738947839,-0.336137732659806,-0.335490690856194,0.04,0.08
"108",-0.503220545618407,-0.328083712131551,-0.334236518883388,-0.333648381367145,0.04,0.1
"109",-0.49596696579582,-0.326045521333555,-0.332247650484534,-0.331728437720636,0.04,0.12
"110",-0.494602204390272,-0.324213605724195,-0.330166783030428,-0.32970860658276,0.04,0.14
"111",-0.488169527962266,-0.322151472255199,-0.328050743642102,-0.327584983638398,0.04,0.16
"112",-0.485453104120104,-0.3198578156404,-0.325875012856059,-0.325353059377504,0.04,0.18
"113",-0.478766724285109,-0.317573302702434,-0.323589902420307,-0.323059187601209,0.04,0.2
"114",-0.475813485536355,-0.315348948218226,-0.321190069510056,-0.320728179952887,0.04,0.22
"115",-0.468328295154204,-0.312853787775659,-0.318669462379993,-0.318267687084293,0.04,0.24
"116",-0.46513522412855,-0.310173286214081,-0.316094688371497,-0.315672043046571,0.04,0.26
"117",-0.459299258921022,-0.30766190757009,-0.313413898288206,-0.312934696926714,0.04,0.28
"118",-0.452503265179766,-0.304836884296638,-0.310588110507777,-0.310169970975386,0.04,0.3
"119",-0.447903814369023,-0.301874627697186,-0.307609313668367,-0.307250788512172,0.04,0.32
"120",-0.441686179674989,-0.29892466514551,-0.30454113312171,-0.30416126970086,0.04,0.34
"121",-0.434470162895274,-0.295614180915987,-0.301328136956126,-0.300926547087727,0.04,0.36
"122",-0.427392615014457,-0.292386489682665,-0.297929654389658,-0.297590160567687,0.04,0.38
"123",-0.421018931403299,-0.288819450484342,-0.294372028159039,-0.29404767377685,0.04,0.4
"124",-0.413970320827455,-0.285194731185891,-0.290665462993126,-0.290309727120792,0.04,0.42
"125",-0.40641033004579,-0.281266838678233,-0.286732241967409,-0.286435878338332,0.04,0.44
"126",-0.398391634195347,-0.277257972469013,-0.282610691942228,-0.282311217149566,0.04,0.46
"127",-0.389876761861139,-0.272881466433883,-0.27827257919944,-0.27798224759161,0.04,0.48
